City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
214,Liberia,LR,1/5/2021 21:40,6.5,-9.5,73.11,96,0,2.24
215,Vardo,NO,1/5/2021 21:40,70.3705,31.1107,23,92,75,42.5
216,Wajima,JP,1/5/2021 21:40,37.4,136.9,36.12,91,96,18.59
217,Pekan,MY,1/5/2021 21:40,3.4836,103.3996,75.2,94,40,2.24
218,Prince Rupert,CA,1/5/2021 21:40,54.3161,-130.3201,42.8,87,90,19.46
219,Araouane,ML,1/5/2021 21:40,18.9048,-3.5265,71.08,20,2,8.14
220,Marawi,PH,1/5/2021 21:40,7.9986,124.2928,73.99,90,74,5.01
221,Pilar,BR,1/5/2021 21:40,-9.5972,-35.9567,78.8,74,0,9.17
222,Saint George,US,1/5/2021 21:38,37.1041,-113.5841,57.99,26,1,3.36
223,Novyy Rogachik,RU,1/5/2021 21:40,48.6768,44.0608,21.2,67,0,15.66
224,Talnakh,RU,1/5/2021 21:40,69.4865,88.3972,-11.2,76,90,24.61
225,Vitim,RU,1/5/2021 21:40,59.4511,112.5578,-22.2,81,100,10.71
226,Manjacaze,MZ,1/5/2021 21:40,-24.7117,33.8828,76.57,82,98,8.75
227,Codrington,AU,1/5/2021 21:40,-38.2667,141.9667,57.52,76,99,13.85
228,Pombal,BR,1/5/2021 21:40,-6.7703,-37.8017,92.25,28,81,5.53
229,Cabo San Lucas,MX,1/5/2021 21:40,22.8909,-109.9124,73.99,46,75,8.05
230,Bonthe,SL,1/5/2021 21:40,7.5264,-12.505,80.96,81,0,8.97
231,Priladozhskiy,RU,1/5/2021 21:40,59.85,31.4833,23,99,99,3.18
232,Vestmannaeyjar,IS,1/5/2021 21:40,63.4427,-20.2734,38.73,76,100,17.43
233,Camara De Lobos,PT,1/5/2021 21:40,32.6333,-16.9667,64.4,77,40,4.7
234,Torbay,CA,1/5/2021 21:40,47.6666,-52.7314,36,100,90,20.8
235,Tighnabruaich,GB,1/5/2021 21:40,55.9016,-5.2398,32,80,62,3.83
236,Luderitz,NA,1/5/2021 21:40,-26.6481,15.1594,68,82,61,13.87
237,Zabaykalsk,RU,1/5/2021 21:40,49.6333,117.3167,-20.99,81,100,17.58
238,Lazaro Cardenas,MX,1/5/2021 21:39,17.9583,-102.2,82.2,63,0,9.98
239,Raahe,FI,1/5/2021 21:40,64.6833,24.4833,14,85,90,4.7
240,Uchiza,PE,1/5/2021 21:40,-8.4592,-76.4633,77.43,80,93,1.36
241,Praia,CV,1/5/2021 21:40,14.9215,-23.5087,77,50,0,13.87
242,Lindenberg,DE,1/5/2021 21:40,49.3803,8.0986,37,96,100,8.34
243,Vavuniya,LK,1/5/2021 21:40,8.7514,80.4971,72.37,97,81,1.95
244,Bira,RU,1/5/2021 21:40,49,132.4667,-17.91,82,0,2.71
