City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
50,Laizhou,CN,37.1717,119.9214,34.99,83,100,12.62,overcast clouds
51,Zhuhai,CN,22.2769,113.5678,69.8,78,20,6.91,few clouds
52,Cidreira,BR,-30.1811,-50.2056,74.25,84,99,17.29,overcast clouds
53,Hofn,IS,64.2539,-15.2082,28.49,88,0,24.25,clear sky
54,Portland,US,45.5234,-122.6762,45.0,76,75,2.89,broken clouds
55,Castro,BR,-24.7911,-50.0119,63.54,98,100,7.23,overcast clouds
56,Saldanha,ZA,-33.0117,17.9442,64.4,77,0,9.22,clear sky
57,Rietavas,LT,55.7194,21.9311,37.4,81,40,13.8,scattered clouds
58,Pimentel,PE,-6.8367,-79.9342,71.6,73,75,12.66,broken clouds
59,Kampene,CD,-3.6,26.6667,68.11,96,100,0.67,light rain
60,Lorengau,PG,-2.0226,147.2712,85.86,58,100,3.94,overcast clouds
61,Bay Roberts,CA,47.5999,-53.2648,30.0,96,100,11.01,snow
62,Okhotsk,RU,59.3833,143.3,-9.4,85,99,13.04,overcast clouds
63,Puerto Ayora,EC,-0.7393,-90.3518,75.99,93,92,1.01,overcast clouds
64,Kaitangata,NZ,-46.2817,169.8464,68.0,50,67,11.99,moderate rain
65,Vestmannaeyjar,IS,63.4427,-20.2734,29.66,89,34,24.54,scattered clouds
66,Ahipara,NZ,-35.1667,173.1667,67.05,57,19,10.54,few clouds
67,Jaguey Grande,CU,22.5269,-81.1286,60.8,94,20,5.75,moderate rain
68,Port Lincoln,AU,-34.7333,135.8667,75.43,38,0,10.63,clear sky
69,San Patricio,US,28.017,-97.5169,63.0,100,90,3.56,mist
70,Hambantota,LK,6.1241,81.1185,79.12,81,60,12.95,broken clouds
71,Pevek,RU,69.7008,170.3133,-17.64,87,100,2.95,overcast clouds
72,Cabo San Lucas,MX,22.8909,-109.9124,70.0,83,75,9.22,broken clouds
73,Jamestown,US,42.097,-79.2353,34.0,69,90,20.71,light snow
74,Kangaatsiaq,GL,68.3065,-53.4641,15.1,83,99,5.1,overcast clouds
75,Jacareacanga,BR,-6.2222,-57.7528,69.6,97,100,1.14,overcast clouds
76,Nishihara,JP,26.1842,127.7558,69.8,94,75,17.27,light rain
77,Nicoya,CR,10.1483,-85.452,80.6,65,0,10.36,clear sky
78,Thompson,CA,55.7435,-97.8558,-9.4,84,90,3.24,light snow
79,Chapais,CA,49.7834,-74.8492,5.0,85,90,9.22,light snow
80,Saint-Philippe,RE,-21.3585,55.7679,82.4,74,0,4.61,clear sky
81,Saint George,US,37.1041,-113.5841,50.0,46,1,6.91,clear sky
82,Bukama,CD,-9.2,25.85,67.73,96,100,1.19,overcast clouds
83,Lebu,CL,-37.6167,-73.65,60.94,82,0,17.25,clear sky
84,Tevaitoa,PF,-16.7833,-151.5,81.64,71,17,17.74,light rain
85,Vaini,TO,-21.2,-175.2,82.4,89,75,11.5,light rain
86,Sitka,US,57.0531,-135.33,39.2,81,90,4.61,overcast clouds
87,Harindanga,IN,22.0383,88.3214,62.6,88,0,6.82,mist
88,Armidale,AU,-30.5167,151.65,77.0,56,100,1.99,overcast clouds
89,Bathsheba,BB,13.2167,-59.5167,78.8,73,40,14.97,scattered clouds
90,Turukhansk,RU,65.8167,87.9833,-42.36,74,0,7.87,clear sky
91,Upata,VE,8.0086,-62.3989,75.99,80,81,3.0,broken clouds
92,Mataura,NZ,-46.1927,168.8643,62.01,80,81,7.0,broken clouds
93,Mirzapur,IN,25.15,82.5833,51.8,100,90,4.43,fog
94,Ribeira Grande,PT,38.5167,-28.7,59.76,73,100,10.09,overcast clouds
95,Kansanshi,ZM,-12.0951,26.4273,60.64,99,100,2.24,overcast clouds
96,Linguere,SN,15.3953,-15.1193,73.4,23,0,6.91,clear sky
97,Nikolskoye,RU,59.7035,30.7861,18.0,93,90,8.95,overcast clouds
98,Khandbari,NP,27.3747,87.2039,57.49,46,0,0.4,clear sky
99,Gazanjyk,TM,39.2446,55.5154,26.53,93,0,6.62,clear sky
100,Geraldton,AU,-28.7667,114.6,87.8,45,0,13.8,clear sky
101,Kailahun,SL,8.2833,-10.5667,66.29,97,48,1.07,scattered clouds
102,Pisco,PE,-13.7,-76.2167,69.8,83,0,6.91,clear sky
103,Leningradskiy,RU,69.3833,178.4167,-13.02,87,100,10.25,overcast clouds
104,Hithadhoo,MV,-0.6,73.0833,82.17,72,50,8.16,scattered clouds
105,Sandnessjoen,NO,66.0217,12.6316,32.0,64,75,36.82,light snow
106,Launceston,AU,-41.45,147.1667,77.0,31,75,18.41,broken clouds
107,Meadow Lake,US,34.8014,-106.5436,44.6,53,20,4.61,few clouds
108,Repatriacion,PY,-25.5333,-55.95,71.06,97,33,4.47,scattered clouds
109,Komsomolskiy,UZ,40.4272,71.7189,32.0,55,75,39.12,light snow
110,Waitati,NZ,-45.75,170.5667,59.4,66,99,4.79,light rain
111,Kapit,MY,2.0167,112.9333,88.66,62,81,0.34,broken clouds
112,Caraquet,CA,47.7941,-64.9386,6.8,85,100,4.61,overcast clouds
113,Misratah,LY,32.3754,15.0925,56.28,48,100,15.19,overcast clouds
114,Talnakh,RU,69.4865,88.3972,-40.34,77,20,2.66,few clouds
115,Chuy,UY,-33.6971,-53.4616,67.75,83,0,9.51,clear sky
116,Laguna,US,38.421,-121.4238,54.0,50,1,4.61,clear sky
117,Bangangte,CM,5.1409,10.5198,59.54,91,100,0.74,overcast clouds
118,Ballina,AU,-28.8667,153.5667,82.4,54,40,14.97,scattered clouds
119,Carnarvon,AU,-24.8667,113.6333,82.4,74,75,13.8,broken clouds
120,Mokhotlong,LS,-29.2894,29.0675,54.07,74,61,0.54,broken clouds
121,Kirakira,SB,-10.4544,161.9205,85.01,67,83,11.07,broken clouds
122,Lichinga,MZ,-13.3128,35.2406,64.4,100,75,8.05,fog
123,Lavrentiya,RU,65.5833,-171.0,22.89,97,100,21.05,light snow
124,Dudinka,RU,69.4058,86.1778,-44.5,78,9,2.62,clear sky
125,Russell,US,32.3502,-85.1999,55.99,100,90,3.44,overcast clouds
126,Darhan,MN,49.4867,105.9228,9.57,90,62,1.95,broken clouds
127,Ponta Do Sol,PT,32.6667,-17.1,60.01,82,51,3.0,broken clouds
128,Hermanus,ZA,-34.4187,19.2345,66.99,81,0,1.01,clear sky
129,Tuktoyaktuk,CA,69.4541,-133.0374,-7.6,77,90,12.66,overcast clouds
130,Challapata,BO,-18.9,-66.7667,47.93,68,79,11.27,heavy intensity rain
131,Lewistown,US,40.5992,-77.5714,41.0,52,20,25.32,few clouds
132,Netrakona,BD,24.8833,90.7167,66.04,53,32,6.85,scattered clouds
133,San Cristobal,VE,7.7669,-72.225,65.05,85,37,1.36,scattered clouds
134,Yichang,CN,30.7144,111.2847,51.01,65,100,1.99,overcast clouds
135,Loreto,MX,22.2667,-101.9667,59.79,45,18,7.0,few clouds
136,Awbari,LY,26.5921,12.7805,44.02,56,0,5.91,clear sky
137,Paamiut,GL,61.994,-49.6678,24.01,86,2,4.12,clear sky
138,Baindur,IN,13.8667,74.6333,77.83,51,47,3.67,scattered clouds
139,Ponta Delgada,PT,37.7333,-25.6667,54.0,94,20,2.3,few clouds
140,Chavakachcheri,LK,9.6579,80.1643,79.77,82,76,9.57,broken clouds
141,Viedma,AR,-40.8135,-62.9967,87.01,35,0,1.01,clear sky
142,Fairbanks,US,64.8378,-147.7164,1.4,85,20,3.44,few clouds
143,La Palma,US,33.8464,-118.0467,61.0,63,1,6.2,clear sky
144,Bolnisi,GE,41.4479,44.5384,23.0,80,0,2.3,clear sky
145,Dwarka,IN,22.2394,68.9678,68.43,82,0,7.4,clear sky
146,Port Moresby,PG,-9.4431,147.1797,89.6,62,40,6.91,scattered clouds
147,Kruisfontein,ZA,-34.0033,24.7314,68.0,93,100,1.99,overcast clouds
148,Butaritari,KI,3.0707,172.7902,79.86,81,54,13.98,moderate rain
149,Donskoye,RU,45.4552,41.9741,33.8,64,40,11.18,scattered clouds
150,Gamba,GA,-2.65,10.0,76.64,89,100,5.66,light rain
151,Whitehorse,CA,60.7161,-135.0538,12.2,85,75,11.5,broken clouds
152,Naze,JP,28.3667,129.4833,68.0,94,75,13.8,light rain
153,Klaksvik,FO,62.2266,-6.589,35.6,69,40,21.85,light snow
154,Prainha,BR,-1.8,-53.48,72.34,96,96,2.68,light rain
